fipscode,name,state
2063,Chugach Census Area,AK
2066,Copper River Census Area,AK
9110,Capital Planning Region,CT
9120,Greater Bridgeport Planning Region,CT
9130,Lower Connecticut River Valley Planning Region,CT
9140,Naugatuck Valley Planning Region,CT
9150,Northeastern Connecticut Planning Region,CT
9160,Northwest Hills Planning Region,CT
9170,South Central Connecticut Planning Region,CT
9180,Southeastern Connecticut Planning Region,CT
9190,Western Connecticut Planning Region,CT
2270,Wade-Hampton Census Area,AK
46113,Shannon County,SD
2201,Ketchikan Census Area,AK
2280,Wrangell-Petersburg Census Area,AK
2231,Skagway-Yakutat-Angoon Census Area,AK
2232,Skagway-Hoonah-Angoon Census Area,AK
30113,Yellowstone County,MT
2010,Aleutian Islands,AK
2030,Angoon,AK
2040,Barrow,AK
2080,Cordova-Mc Carthy,AK
2120,Kenai-Cook Inlet,AK
2140,Kobuk,AK
2160,Kuskokwim,AK
2190,Outer Ketchikan,AK
2200,Prince Of Wales,AK
2210,Seward,AK
2250,Upper Yukon,AK
2260,Valdez-Chitina-Whittier,AK
46131,Washabaugh,SD
